record_type,player_id,school,season,jersey,name,position,is_goalkeeper,class_year,hometown,height,weight,previous_school,game_id,date,opponent,score,location,conference,division,games_played,games_started,minutes,goals,assists,shots,shots_on_goal,fouls,yellow_cards,red_cards,saves,goals_against,save_percentage,shutouts
player,Harding_2024_player_1,Harding,2024,1,Inigo Chavarria,Goalkeeper,true,,,,,,,,,,,,,,,,,,,,,,,,,,
game,,Harding,2024,,,,,,,,,,Harding_2024_game_001,09/05/24,UNION (TN),1-3,,Great American Conference,Division II,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_1,Harding,2024,,,,,,,,,,Harding_2024_game_001,09/05/24,UNION (TN),,,,,*,*,0,0,0,0,0,0,0,0,0,0,.000,0-0
game,,Harding,2024,,,,,,,,,,Harding_2024_game_002,09/10/24,MISSISSIPPI COL.,2-2,,Great American Conference,Division II,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_1,Harding,2024,,,,,,,,,,Harding_2024_game_002,09/10/24,MISSISSIPPI COL.,,,,,*,*,0,0,0,0,0,0,0,0,0,0,.000,0-0
game,,Harding,2024,,,,,,,,,,Harding_2024_game_003,09/28/24,at Rogers St.,1-4,,Great American Conference,Division II,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_1,Harding,2024,,,,,,,,,,Harding_2024_game_003,09/28/24,at Rogers St.,,,,,*,* ,0,0,0,0,0,0,0,0,,,,
game,,Harding,2024,,,,,,,,,,Harding_2024_game_004,10/03/24,SOUTHERN NAZARENE,0-3,,Great American Conference,Division II,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_1,Harding,2024,,,,,,,,,,Harding_2024_game_004,10/03/24,SOUTHERN NAZARENE,,,,,*,*,0 ,0,0,0,0,0,0,0,,,,
game,,Harding,2024,,,,,,,,,,Harding_2024_game_005,10/06/24,DELTA ST.,1-1,,Great American Conference,Division II,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_1,Harding,2024,,,,,,,,,,Harding_2024_game_005,10/06/24,DELTA ST.,,,,,*,*,0,0,0,0,0,0,0,0,0 ,0,,
game,,Harding,2024,,,,,,,,,,Harding_2024_game_006,10/10/24,NEWMAN,1-3,,Great American Conference,Division II,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_1,Harding,2024,,,,,,,,,,Harding_2024_game_006,10/10/24,NEWMAN,,,,,*,*,0,0,0,0,0,0,0,0,0,0,.000,
game,,Harding,2024,,,,,,,,,,Harding_2024_game_007,10/12/24,FORT HAYS ST.,1-5,,Great American Conference,Division II,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_1,Harding,2024,,,,,,,,,,Harding_2024_game_007,10/12/24,FORT HAYS ST.,,,,,*,*,0,0,0,0,0,0,0,0,0,0,.000,0-0 
